"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperiment"
"03/02/2022 19:09:20:946 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","cut-links-randomly?","record?","opinions","updating","set-seed?","boundary","polar_repeats","Y-opinion","draw_id_threshold","model","max-ticks","Centroids_change","boundary-drawn","p-random","tolerance-drawn","p-speaking-drawn","n-neis","use_opponents_ratio?","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","identity_levels","record-length","file-name-core","id_threshold","network-change","tolerance-level","p-speaking-level","centroid_color?","use_identity?","conformity-drawn","N_centroids","RS","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","[step]","betweenness_start","eigenvector_start","clustering_start","modularity_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","modularity_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","292","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","false","2","1","true","0.28","20","2","uniform","HK","1000","1.0E-5","uniform","0.34","uniform","uniform","64","false","1000","openly-listen","0.8","1500","5","2","40","1_129_0.1_16_2_2_0.4_uniform_1_uniform_openly-listen","0.5","link","1.08","0.543","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
